https://www.comed.com/customer-service/rates-pricing/retail-electricity-metering/Pages/historical-load-data.aspx,,,,,,,,,,,,,,,,,,,,,,,,
CST,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00:00
Fri 01/01/2016,1.291,1.212,1.107,1.087,1.066,1.094,1.14,1.175,1.2,1.282,1.415,1.429,1.444,1.417,1.403,1.38,1.501,1.687,1.782,1.742,1.67,1.598,1.502,1.323
Sat 01/02/2016,1.189,1.126,1.068,1.039,1.017,1.063,1.12,1.179,1.273,1.324,1.354,1.317,1.281,1.269,1.267,1.332,1.436,1.646,1.688,1.665,1.596,1.523,1.414,1.231
Sun 01/03/2016,1.16,1.09,1.032,1.031,1.038,1.068,1.155,1.211,1.333,1.439,1.461,1.429,1.448,1.45,1.417,1.497,1.652,1.82,1.821,1.756,1.656,1.596,1.386,1.177
Mon 01/04/2016,1.081,1.04,1.028,1.041,1.051,1.084,1.243,1.205,1.204,1.205,1.203,1.176,1.178,1.235,1.233,1.306,1.461,1.647,1.73,1.715,1.71,1.55,1.351,1.196
Tue 01/05/2016,1.107,1.043,1.026,1.029,1.08,1.111,1.295,1.296,1.261,1.217,1.211,1.2,1.205,1.237,1.189,1.234,1.37,1.661,1.638,1.673,1.596,1.471,1.311,1.153
Wed 01/06/2016,1.065,1.025,1.025,1.011,1.012,1.091,1.265,1.241,1.251,1.245,1.244,1.209,1.163,1.109,1.102,1.202,1.352,1.6,1.647,1.652,1.582,1.456,1.271,1.091
Thu 01/07/2016,1.027,0.966,0.964,0.954,0.958,1.049,1.229,1.247,1.23,1.227,1.153,1.152,1.143,1.143,1.165,1.189,1.306,1.533,1.587,1.586,1.534,1.407,1.224,1.082
Fri 01/08/2016,0.958,0.922,0.928,0.893,0.933,1.018,1.156,1.213,1.179,1.209,1.22,1.215,1.146,1.122,1.136,1.216,1.4,1.517,1.478,1.497,1.434,1.367,1.235,1.079
Sat 01/09/2016,0.997,0.962,0.927,0.922,0.931,0.992,1.042,1.144,1.247,1.246,1.312,1.295,1.255,1.248,1.304,1.328,1.452,1.596,1.607,1.573,1.538,1.434,1.359,1.198
Sun 01/10/2016,1.109,1.086,1.055,1.059,1.065,1.109,1.198,1.299,1.38,1.476,1.387,1.421,1.46,1.413,1.403,1.483,1.592,1.795,1.864,1.799,1.74,1.585,1.428,1.307
Mon 01/11/2016,1.232,1.224,1.186,1.186,1.221,1.262,1.428,1.434,1.464,1.483,1.487,1.48,1.444,1.482,1.443,1.51,1.578,1.771,1.762,1.783,1.722,1.614,1.384,1.205
Tue 01/12/2016,1.181,1.158,1.153,1.143,1.178,1.24,1.434,1.467,1.44,1.41,1.392,1.36,1.323,1.38,1.389,1.436,1.567,1.721,1.799,1.76,1.7,1.641,1.429,1.312
Wed 01/13/2016,1.239,1.243,1.188,1.199,1.235,1.259,1.432,1.483,1.482,1.414,1.388,1.409,1.419,1.405,1.36,1.381,1.518,1.702,1.736,1.699,1.688,1.548,1.358,1.186
Thu 01/14/2016,1.121,1.102,1.055,1.065,1.054,1.122,1.309,1.308,1.25,1.25,1.256,1.184,1.148,1.103,1.1,1.143,1.25,1.545,1.575,1.592,1.528,1.387,1.283,1.092
Fri 01/15/2016,0.986,0.969,0.944,0.996,1.004,1.049,1.201,1.219,1.257,1.222,1.264,1.266,1.193,1.232,1.24,1.285,1.369,1.56,1.564,1.541,1.512,1.423,1.306,1.152
Sat 01/16/2016,1.062,1.04,0.99,0.999,0.986,1.016,1.116,1.225,1.303,1.353,1.343,1.335,1.287,1.255,1.28,1.312,1.449,1.597,1.571,1.564,1.475,1.428,1.373,1.261
Sun 01/17/2016,1.202,1.151,1.14,1.112,1.161,1.174,1.283,1.403,1.515,1.579,1.62,1.624,1.638,1.609,1.571,1.647,1.737,1.961,1.914,1.828,1.764,1.705,1.589,1.41
Mon 01/18/2016,1.342,1.311,1.278,1.288,1.325,1.361,1.484,1.56,1.578,1.554,1.564,1.561,1.587,1.568,1.536,1.603,1.732,1.908,1.976,1.949,1.87,1.775,1.53,1.362
Tue 01/19/2016,1.3,1.267,1.251,1.227,1.273,1.329,1.518,1.53,1.433,1.425,1.384,1.377,1.338,1.31,1.346,1.393,1.489,1.722,1.743,1.76,1.693,1.572,1.372,1.225
Wed 01/20/2016,1.149,1.141,1.121,1.115,1.123,1.231,1.362,1.422,1.349,1.325,1.259,1.216,1.25,1.22,1.209,1.287,1.407,1.651,1.732,1.667,1.611,1.532,1.339,1.18
Thu 01/21/2016,1.107,1.113,1.072,1.076,1.11,1.173,1.307,1.327,1.289,1.305,1.185,1.168,1.133,1.137,1.171,1.19,1.325,1.51,1.601,1.603,1.56,1.441,1.32,1.139
Fri 01/22/2016,1.062,1.042,1.014,1.016,1.04,1.103,1.236,1.242,1.266,1.325,1.247,1.268,1.255,1.283,1.26,1.321,1.436,1.554,1.561,1.506,1.45,1.381,1.242,1.119
Sat 01/23/2016,1.035,1.027,0.998,0.984,1.004,1.042,1.14,1.255,1.286,1.264,1.288,1.23,1.249,1.217,1.219,1.236,1.299,1.469,1.456,1.447,1.428,1.365,1.27,1.187
Sun 01/24/2016,1.095,1.072,1.035,1.035,1.05,1.067,1.143,1.251,1.293,1.304,1.259,1.319,1.285,1.242,1.193,1.223,1.397,1.573,1.664,1.588,1.525,1.378,1.247,1.123
Mon 01/25/2016,1.018,1.01,0.99,1.001,1.033,1.067,1.253,1.272,1.243,1.216,1.197,1.183,1.145,1.153,1.2,1.264,1.374,1.538,1.581,1.521,1.51,1.379,1.186,1.021
Tue 01/26/2016,0.949,0.952,0.927,0.974,0.991,1.064,1.217,1.257,1.178,1.215,1.218,1.228,1.192,1.216,1.249,1.267,1.405,1.596,1.628,1.58,1.551,1.404,1.293,1.132
Wed 01/27/2016,1.061,1.037,1.01,1.017,1.025,1.078,1.246,1.301,1.208,1.162,1.172,1.142,1.096,1.101,1.071,1.139,1.289,1.566,1.615,1.593,1.522,1.388,1.218,1.11
Thu 01/28/2016,0.983,0.968,0.932,0.967,0.974,1.075,1.203,1.237,1.191,1.146,1.099,1.163,1.082,1.111,1.142,1.219,1.308,1.505,1.541,1.528,1.47,1.357,1.213,1.05
Fri 01/29/2016,0.981,0.966,0.912,0.923,0.963,1.006,1.218,1.232,1.222,1.165,1.172,1.132,1.16,1.108,1.068,1.171,1.319,1.483,1.546,1.54,1.477,1.399,1.223,1.118
Sat 01/30/2016,1.02,0.98,0.954,0.96,0.951,0.979,1.081,1.137,1.237,1.276,1.238,1.165,1.204,1.15,1.202,1.153,1.232,1.371,1.372,1.316,1.301,1.233,1.127,1.04
Sun 01/31/2016,0.973,0.908,0.868,0.86,0.863,0.921,1.003,1.103,1.135,1.197,1.158,1.163,1.246,1.301,1.305,1.336,1.419,1.562,1.565,1.535,1.49,1.332,1.234,1.079
