https://www.comed.com/customer-service/rates-pricing/real-time-pricing/Pages/rate-besh-pricing-tool.aspx,
Date & Hour Ending,Hourly Price ($/kWh)
1/1/2016 0:00,0.02033
1/1/2016 1:00,0.01726
1/1/2016 2:00,0.01464
1/1/2016 3:00,0.01535
1/1/2016 4:00,0.01578
1/1/2016 5:00,0.01541
1/1/2016 6:00,0.01679
1/1/2016 7:00,0.00544
1/1/2016 8:00,0.01024
1/1/2016 9:00,0.01829
1/1/2016 10:00,0.02078
1/1/2016 11:00,0.02075
1/1/2016 12:00,0.02043
1/1/2016 13:00,0.01985
1/1/2016 14:00,0.01758
1/1/2016 15:00,0.01839
1/1/2016 16:00,0.02108
1/1/2016 17:00,0.02462
1/1/2016 18:00,0.02558
1/1/2016 19:00,0.02661
1/1/2016 20:00,0.02324
1/1/2016 21:00,0.02349
1/1/2016 22:00,0.02109
1/1/2016 23:00,0.01973
1/2/2016 0:00,0.01991
1/2/2016 1:00,0.01743
1/2/2016 2:00,0.01928
1/2/2016 3:00,0.01998
1/2/2016 4:00,0.01803
1/2/2016 5:00,0.02383
1/2/2016 6:00,0.02299
1/2/2016 7:00,0.02372
1/2/2016 8:00,0.02951
1/2/2016 9:00,0.0237
1/2/2016 10:00,0.02243
1/2/2016 11:00,0.02196
1/2/2016 12:00,0.01915
1/2/2016 13:00,0.0159
1/2/2016 14:00,0.01578
1/2/2016 15:00,0.01197
1/2/2016 16:00,0.01611
1/2/2016 17:00,0.0229
1/2/2016 18:00,0.02261
1/2/2016 19:00,0.0235
1/2/2016 20:00,0.0227
1/2/2016 21:00,0.02228
1/2/2016 22:00,0.02083
1/2/2016 23:00,0.02088
1/3/2016 0:00,0.02123
1/3/2016 1:00,0.01786
1/3/2016 2:00,0.01715
1/3/2016 3:00,0.01728
1/3/2016 4:00,0.0184
1/3/2016 5:00,0.01849
1/3/2016 6:00,0.01958
1/3/2016 7:00,0.02196
1/3/2016 8:00,0.01952
1/3/2016 9:00,0.01572
1/3/2016 10:00,0.01638
1/3/2016 11:00,0.01518
1/3/2016 12:00,0.01936
1/3/2016 13:00,0.02085
1/3/2016 14:00,0.01785
1/3/2016 15:00,0.007
1/3/2016 16:00,0.01789
1/3/2016 17:00,0.02451
1/3/2016 18:00,0.0258
1/3/2016 19:00,0.02769
1/3/2016 20:00,0.02917
1/3/2016 21:00,0.02246
1/3/2016 22:00,0.01827
1/3/2016 23:00,0.01878
1/4/2016 0:00,0.01765
1/4/2016 1:00,0.01745
1/4/2016 2:00,0.01611
1/4/2016 3:00,0.01589
1/4/2016 4:00,0.01477
1/4/2016 5:00,0.01889
1/4/2016 6:00,0.02288
1/4/2016 7:00,0.02292
1/4/2016 8:00,0.02399
1/4/2016 9:00,0.02718
1/4/2016 10:00,0.02698
1/4/2016 11:00,0.02516
1/4/2016 12:00,0.0269
1/4/2016 13:00,0.02563
1/4/2016 14:00,0.02628
1/4/2016 15:00,0.02593
1/4/2016 16:00,0.02861
1/4/2016 17:00,0.03791
1/4/2016 18:00,0.03609
1/4/2016 19:00,0.03389
1/4/2016 20:00,0.03799
1/4/2016 21:00,0.03858
1/4/2016 22:00,0.03193
1/4/2016 23:00,0.026
1/5/2016 0:00,0.00886
1/5/2016 1:00,0.01071
1/5/2016 2:00,-0.01918
1/5/2016 3:00,-0.03083
1/5/2016 4:00,-0.02388
1/5/2016 5:00,0.00436
1/5/2016 6:00,0.04474
1/5/2016 7:00,0.04206
1/5/2016 8:00,0.02645
1/5/2016 9:00,0.02508
1/5/2016 10:00,0.03056
1/5/2016 11:00,0.03042
1/5/2016 12:00,0.02801
1/5/2016 13:00,0.02728
1/5/2016 14:00,0.0251
1/5/2016 15:00,0.02624
1/5/2016 16:00,0.02579
1/5/2016 17:00,0.03704
1/5/2016 18:00,0.02867
1/5/2016 19:00,0.02791
1/5/2016 20:00,0.02887
1/5/2016 21:00,0.03299
1/5/2016 22:00,0.02682
1/5/2016 23:00,0.03315
1/6/2016 0:00,0.01794
1/6/2016 1:00,0.01194
1/6/2016 2:00,-0.00054
1/6/2016 3:00,0.01346
1/6/2016 4:00,0.00577
1/6/2016 5:00,0.01998
1/6/2016 6:00,0.05211
1/6/2016 7:00,0.0316
1/6/2016 8:00,0.03742
1/6/2016 9:00,0.04078
1/6/2016 10:00,0.02712
1/6/2016 11:00,0.0284
1/6/2016 12:00,0.02604
1/6/2016 13:00,0.02572
1/6/2016 14:00,0.02392
1/6/2016 15:00,0.02363
1/6/2016 16:00,0.02419
1/6/2016 17:00,0.03069
1/6/2016 18:00,0.02887
1/6/2016 19:00,0.02726
1/6/2016 20:00,0.02716
1/6/2016 21:00,0.02638
1/6/2016 22:00,0.02508
1/6/2016 23:00,0.02402
1/7/2016 0:00,0.02312
1/7/2016 1:00,0.02216
1/7/2016 2:00,0.01135
1/7/2016 3:00,0.02323
1/7/2016 4:00,0.02296
1/7/2016 5:00,0.02331
1/7/2016 6:00,0.02008
1/7/2016 7:00,0.02861
1/7/2016 8:00,0.02685
1/7/2016 9:00,0.0276
1/7/2016 10:00,0.02668
1/7/2016 11:00,0.0243
1/7/2016 12:00,0.02532
1/7/2016 13:00,0.02206
1/7/2016 14:00,0.023
1/7/2016 15:00,0.02387
1/7/2016 16:00,0.02245
1/7/2016 17:00,0.03077
1/7/2016 18:00,0.02672
1/7/2016 19:00,0.02677
1/7/2016 20:00,0.02595
1/7/2016 21:00,0.02426
1/7/2016 22:00,0.02154
1/7/2016 23:00,0.01717
1/8/2016 0:00,0.01661
1/8/2016 1:00,0.01852
1/8/2016 2:00,0.01842
1/8/2016 3:00,0.01904
1/8/2016 4:00,0.0187
1/8/2016 5:00,0.02049
1/8/2016 6:00,0.01686
1/8/2016 7:00,0.02482
1/8/2016 8:00,0.02509
1/8/2016 9:00,0.02777
1/8/2016 10:00,0.02718
1/8/2016 11:00,0.02603
1/8/2016 12:00,0.02591
1/8/2016 13:00,0.02514
1/8/2016 14:00,0.02482
1/8/2016 15:00,0.02501
1/8/2016 16:00,0.02475
1/8/2016 17:00,0.02515
1/8/2016 18:00,0.02553
1/8/2016 19:00,0.0241
1/8/2016 20:00,0.02303
1/8/2016 21:00,0.02052
1/8/2016 22:00,0.01887
1/8/2016 23:00,0.01631
1/9/2016 0:00,0.02192
1/9/2016 1:00,0.02089
1/9/2016 2:00,0.01959
1/9/2016 3:00,0.01765
1/9/2016 4:00,0.0182
1/9/2016 5:00,0.01989
1/9/2016 6:00,0.02009
1/9/2016 7:00,0.02317
1/9/2016 8:00,0.02378
1/9/2016 9:00,0.02383
1/9/2016 10:00,0.02376
1/9/2016 11:00,0.02355
1/9/2016 12:00,0.0225
1/9/2016 13:00,0.02176
1/9/2016 14:00,0.02185
1/9/2016 15:00,0.02178
1/9/2016 16:00,0.02283
1/9/2016 17:00,0.02334
1/9/2016 18:00,0.0224
1/9/2016 19:00,0.01909
1/9/2016 20:00,0.01987
1/9/2016 21:00,0.01949
1/9/2016 22:00,0.01587
1/9/2016 23:00,0.01625
1/10/2016 0:00,0.01844
1/10/2016 1:00,0.01641
1/10/2016 2:00,0.01512
1/10/2016 3:00,0.0073
1/10/2016 4:00,0.0142
1/10/2016 5:00,0.01266
1/10/2016 6:00,0.01892
1/10/2016 7:00,0.01962
1/10/2016 8:00,0.01773
1/10/2016 9:00,0.02081
1/10/2016 10:00,0.02069
1/10/2016 11:00,0.0205
1/10/2016 12:00,0.02134
1/10/2016 13:00,0.02074
1/10/2016 14:00,0.02122
1/10/2016 15:00,0.02211
1/10/2016 16:00,0.02369
1/10/2016 17:00,0.02547
1/10/2016 18:00,0.02738
1/10/2016 19:00,0.02735
1/10/2016 20:00,0.02729
1/10/2016 21:00,0.02404
1/10/2016 22:00,0.02211
1/10/2016 23:00,0.01932
1/11/2016 0:00,0.02048
1/11/2016 1:00,0.02446
1/11/2016 2:00,0.02377
1/11/2016 3:00,0.02386
1/11/2016 4:00,0.02549
1/11/2016 5:00,0.02571
1/11/2016 6:00,0.07381
1/11/2016 7:00,0.08062
1/11/2016 8:00,0.04451
1/11/2016 9:00,0.03006
1/11/2016 10:00,0.02806
1/11/2016 11:00,0.02807
1/11/2016 12:00,0.02969
1/11/2016 13:00,0.02913
1/11/2016 14:00,0.02338
1/11/2016 15:00,0.02379
1/11/2016 16:00,0.02465
1/11/2016 17:00,0.05252
1/11/2016 18:00,0.02728
1/11/2016 19:00,0.02863
1/11/2016 20:00,0.02733
1/11/2016 21:00,0.02753
1/11/2016 22:00,0.02677
1/11/2016 23:00,0.02297
1/12/2016 0:00,0.02296
1/12/2016 1:00,0.02201
1/12/2016 2:00,0.02145
1/12/2016 3:00,0.02193
1/12/2016 4:00,0.02036
1/12/2016 5:00,0.01073
1/12/2016 6:00,0.02451
1/12/2016 7:00,0.02412
1/12/2016 8:00,0.02497
1/12/2016 9:00,0.02621
1/12/2016 10:00,0.02556
1/12/2016 11:00,0.02567
1/12/2016 12:00,0.02547
1/12/2016 13:00,0.02602
1/12/2016 14:00,0.02318
1/12/2016 15:00,0.02299
1/12/2016 16:00,0.02401
1/12/2016 17:00,0.02704
1/12/2016 18:00,0.03017
1/12/2016 19:00,0.02998
1/12/2016 20:00,0.03003
1/12/2016 21:00,0.02828
1/12/2016 22:00,0.02593
1/12/2016 23:00,0.02459
1/13/2016 0:00,0.0271
1/13/2016 1:00,0.0248
1/13/2016 2:00,0.02152
1/13/2016 3:00,0.02329
1/13/2016 4:00,0.02346
1/13/2016 5:00,0.02007
1/13/2016 6:00,0.03086
1/13/2016 7:00,0.03367
1/13/2016 8:00,0.05907
1/13/2016 9:00,0.02654
1/13/2016 10:00,0.0326
1/13/2016 11:00,0.03793
1/13/2016 12:00,0.04382
1/13/2016 13:00,0.04587
1/13/2016 14:00,0.05123
1/13/2016 15:00,0.03746
1/13/2016 16:00,0.05316
1/13/2016 17:00,0.05484
1/13/2016 18:00,0.05575
1/13/2016 19:00,0.04292
1/13/2016 20:00,0.03888
1/13/2016 21:00,0.03801
1/13/2016 22:00,0.02335
1/13/2016 23:00,0.02167
1/14/2016 0:00,0.02171
1/14/2016 1:00,0.02161
1/14/2016 2:00,0.01694
1/14/2016 3:00,0.01327
1/14/2016 4:00,0.01006
1/14/2016 5:00,0.01387
1/14/2016 6:00,0.0213
1/14/2016 7:00,0.02191
1/14/2016 8:00,0.02337
1/14/2016 9:00,0.02243
1/14/2016 10:00,0.02015
1/14/2016 11:00,0.02083
1/14/2016 12:00,0.02094
1/14/2016 13:00,0.01971
1/14/2016 14:00,0.02078
1/14/2016 15:00,0.0207
1/14/2016 16:00,0.0223
1/14/2016 17:00,0.02363
1/14/2016 18:00,0.02377
1/14/2016 19:00,0.02151
1/14/2016 20:00,0.02179
1/14/2016 21:00,0.01918
1/14/2016 22:00,0.01595
1/14/2016 23:00,0.01817
1/15/2016 0:00,0.02
1/15/2016 1:00,0.02037
1/15/2016 2:00,0.01623
1/15/2016 3:00,0.00434
1/15/2016 4:00,0.01075
1/15/2016 5:00,-0.0075
1/15/2016 6:00,-0.00428
1/15/2016 7:00,0.03029
1/15/2016 8:00,0.02615
1/15/2016 9:00,0.02473
1/15/2016 10:00,0.02383
1/15/2016 11:00,0.0232
1/15/2016 12:00,0.02376
1/15/2016 13:00,0.0238
1/15/2016 14:00,0.02409
1/15/2016 15:00,0.0245
1/15/2016 16:00,0.02525
1/15/2016 17:00,0.02619
1/15/2016 18:00,0.02464
1/15/2016 19:00,0.02401
1/15/2016 20:00,0.02364
1/15/2016 21:00,0.02182
1/15/2016 22:00,0.02024
1/15/2016 23:00,0.0196
1/16/2016 0:00,0.02079
1/16/2016 1:00,0.02046
1/16/2016 2:00,0.0193
1/16/2016 3:00,0.01718
1/16/2016 4:00,0.01606
1/16/2016 5:00,0.02018
1/16/2016 6:00,0.02124
1/16/2016 7:00,0.01871
1/16/2016 8:00,0.02084
1/16/2016 9:00,0.02252
1/16/2016 10:00,0.02257
1/16/2016 11:00,0.02396
1/16/2016 12:00,0.02368
1/16/2016 13:00,0.0227
1/16/2016 14:00,0.02078
1/16/2016 15:00,0.02188
1/16/2016 16:00,0.02141
1/16/2016 17:00,0.02213
1/16/2016 18:00,0.02536
1/16/2016 19:00,0.02366
1/16/2016 20:00,0.02316
1/16/2016 21:00,0.02203
1/16/2016 22:00,0.02168
1/16/2016 23:00,0.01881
